image_id,has_defect,n_defect_classes,class_ids,primary_class,defect_area_px,area_class_1,area_class_2,area_class_3,area_class_4,has_class_1,has_class_2,has_class_3,has_class_4
0002cc93b.jpg,1,1,1,1,4396,4396,0,0,0,1,0,0,0
00031f466.jpg,0,0,,0,0,0,0,0,0,0,0,0,0
000418bfc.jpg,0,0,,0,0,0,0,0,0,0,0,0,0
000789191.jpg,0,0,,0,0,0,0,0,0,0,0,0,0
0007a71bf.jpg,1,1,3,3,6897,0,0,6897,0,0,0,1,0
000a4bcdd.jpg,1,1,1,1,8319,8319,0,0,0,1,0,0,0
000f6bf48.jpg,1,1,4,4,69357,0,0,0,69357,0,0,0,1
0014fce06.jpg,1,1,3,3,4851,0,0,4851,0,0,0,1,0
001982b08.jpg,0,0,,0,0,0,0,0,0,0,0,0,0
001d1b355.jpg,0,0,,0,0,0,0,0,0,0,0,0,0
001d3d093.jpg,0,0,,0,0,0,0,0,0,0,0,0,0
0025bde0c.jpg,1,2,3|4,3,46047,0,0,28506,17541,0,0,1,1
002af848d.jpg,1,1,4,4,5001,0,0,0,5001,0,0,0,1
002e73b3c.jpg,0,0,,0,0,0,0,0,0,0,0,0,0
002fc4e19.jpg,1,2,1|2,1,2756,1547,1209,0,0,1,1,0,0
0030401a5.jpg,1,1,4,4,60738,0,0,0,60738,0,0,0,1
003ac9d2a.jpg,0,0,,0,0,0,0,0,0,0,0,0,0
0046839bd.jpg,1,1,3,3,5253,0,0,5253,0,0,0,1,0
005b92582.jpg,0,0,,0,0,0,0,0,0,0,0,0,0
005d86c25.jpg,1,1,3,3,163033,0,0,163033,0,0,0,1,0
005da33cf.jpg,0,0,,0,0,0,0,0,0,0,0,0,0
005dbf0e0.jpg,0,0,,0,0,0,0,0,0,0,0,0,0
005f02e20.jpg,1,1,3,3,3429,0,0,3429,0,0,0,1,0
005f19695.jpg,1,1,3,3,27106,0,0,27106,0,0,0,1,0
006a4402e.jpg,0,0,,0,0,0,0,0,0,0,0,0,0
0074d81d0.jpg,0,0,,0,0,0,0,0,0,0,0,0,0
00762aa3b.jpg,0,0,,0,0,0,0,0,0,0,0,0,0
007f28bba.jpg,0,0,,0,0,0,0,0,0,0,0,0,0
008479d08.jpg,0,0,,0,0,0,0,0,0,0,0,0,0
008621629.jpg,1,1,4,4,34031,0,0,0,34031,0,0,0,1
0088260da.jpg,1,1,3,3,86663,0,0,86663,0,0,0,1,0
00894274f.jpg,0,0,,0,0,0,0,0,0,0,0,0,0
008b9acf5.jpg,0,0,,0,0,0,0,0,0,0,0,0,0
008d0f87b.jpg,1,1,3,3,10509,0,0,10509,0,0,0,1,0
008ef3d74.jpg,1,2,1|2,2,5276,2066,3210,0,0,1,1,0,0
0095cd374.jpg,1,1,3,3,11749,0,0,11749,0,0,0,1,0
009b12ccc.jpg,0,0,,0,0,0,0,0,0,0,0,0,0
00ac8372f.jpg,1,2,1|2,2,9541,1232,8309,0,0,1,1,0,0
00af2671f.jpg,1,1,3,3,37903,0,0,37903,0,0,0,1,0
00b989e78.jpg,0,0,,0,0,0,0,0,0,0,0,0,0
00bc01bfe.jpg,1,1,1,1,3525,3525,0,0,0,1,0,0,0
00bf8497a.jpg,1,1,3,3,5321,0,0,5321,0,0,0,1,0
00c24a74c.jpg,0,0,,0,0,0,0,0,0,0,0,0,0
00c6060db.jpg,0,0,,0,0,0,0,0,0,0,0,0,0
00c88fed0.jpg,1,2,1|2,2,4846,407,4439,0,0,1,1,0,0
00cdb56a0.jpg,1,1,3,3,2046,0,0,2046,0,0,0,1,0
00d639396.jpg,1,1,3,3,58029,0,0,58029,0,0,0,1,0
00d7ae946.jpg,0,0,,0,0,0,0,0,0,0,0,0,0
00dcb19f3.jpg,0,0,,0,0,0,0,0,0,0,0,0,0
00ded7837.jpg,0,0,,0,0,0,0,0,0,0,0,0,0
00e0398ad.jpg,1,1,3,3,96228,0,0,96228,0,0,0,1,0
00ec97699.jpg,1,1,3,3,9121,0,0,9121,0,0,0,1,0
00f1665e6.jpg,1,1,3,3,18359,0,0,18359,0,0,0,1,0
00f68d337.jpg,0,0,,0,0,0,0,0,0,0,0,0,0
00f6e702c.jpg,1,1,3,3,5335,0,0,5335,0,0,0,1,0
00f95222c.jpg,0,0,,0,0,0,0,0,0,0,0,0,0
00fe04c98.jpg,0,0,,0,0,0,0,0,0,0,0,0,0
00fe7f023.jpg,0,0,,0,0,0,0,0,0,0,0,0,0
0101e2cf0.jpg,0,0,,0,0,0,0,0,0,0,0,0,0
01053d28f.jpg,1,1,1,1,5677,5677,0,0,0,1,0,0,0
010db68d1.jpg,1,1,1,1,3827,3827,0,0,0,1,0,0,0
012a4581b.jpg,0,0,,0,0,0,0,0,0,0,0,0,0
012a9a4c7.jpg,1,1,1,1,2476,2476,0,0,0,1,0,0,0
012d29df4.jpg,1,1,3,3,154806,0,0,154806,0,0,0,1,0
012f26693.jpg,1,2,3|4,4,20781,0,0,7140,13641,0,0,1,1
01338c0ea.jpg,1,1,3,3,4802,0,0,4802,0,0,0,1,0
0139dd004.jpg,1,1,3,3,3142,0,0,3142,0,0,0,1,0
0141c9bf3.jpg,1,1,3,3,6035,0,0,6035,0,0,0,1,0
014409fcc.jpg,0,0,,0,0,0,0,0,0,0,0,0,0
0148e9891.jpg,1,1,3,3,10146,0,0,10146,0,0,0,1,0
014ebe543.jpg,1,1,3,3,10072,0,0,10072,0,0,0,1,0
01540cab1.jpg,1,1,3,3,13734,0,0,13734,0,0,0,1,0
015ed7fac.jpg,0,0,,0,0,0,0,0,0,0,0,0,0
01661826d.jpg,1,1,1,1,5568,5568,0,0,0,1,0,0,0
0167a740e.jpg,1,1,1,1,2216,2216,0,0,0,1,0,0,0
016af13d0.jpg,1,1,3,3,28333,0,0,28333,0,0,0,1,0
016efe618.jpg,1,1,4,4,96653,0,0,0,96653,0,0,0,1
01764ee81.jpg,1,1,3,3,59508,0,0,59508,0,0,0,1,0
017c828a1.jpg,1,1,1,1,3618,3618,0,0,0,1,0,0,0
017d75655.jpg,0,0,,0,0,0,0,0,0,0,0,0,0
0181695f9.jpg,0,0,,0,0,0,0,0,0,0,0,0,0
018ccdfed.jpg,1,1,4,4,32592,0,0,0,32592,0,0,0,1
01919944c.jpg,1,1,3,3,119376,0,0,119376,0,0,0,1,0
0198ab92d.jpg,0,0,,0,0,0,0,0,0,0,0,0,0
019f42c2a.jpg,1,1,3,3,76468,0,0,76468,0,0,0,1,0
01a1027ce.jpg,1,1,3,3,10711,0,0,10711,0,0,0,1,0
01afbfa7a.jpg,1,1,4,4,4277,0,0,0,4277,0,0,0,1
