image_id,split
00031f466.jpg,train
000418bfc.jpg,train
000789191.jpg,train
0007a71bf.jpg,train
000a4bcdd.jpg,train
000f6bf48.jpg,train
0014fce06.jpg,train
0025bde0c.jpg,train
002af848d.jpg,train
002e73b3c.jpg,train
002fc4e19.jpg,train
0030401a5.jpg,train
003ac9d2a.jpg,train
0046839bd.jpg,train
005b92582.jpg,train
005dbf0e0.jpg,train
005f02e20.jpg,train
005f19695.jpg,train
006a4402e.jpg,train
0074d81d0.jpg,train
00762aa3b.jpg,train
007f28bba.jpg,train
008479d08.jpg,train
008621629.jpg,train
0088260da.jpg,train
008b9acf5.jpg,train
008d0f87b.jpg,train
008ef3d74.jpg,train
0095cd374.jpg,train
009b12ccc.jpg,train
00ac8372f.jpg,train
00af2671f.jpg,train
00b989e78.jpg,train
00bc01bfe.jpg,train
00bf8497a.jpg,train
00c24a74c.jpg,train
00c6060db.jpg,train
00c88fed0.jpg,train
00cdb56a0.jpg,train
00d639396.jpg,train
00d7ae946.jpg,train
00dcb19f3.jpg,train
00ded7837.jpg,train
00e0398ad.jpg,train
00ec97699.jpg,train
00f1665e6.jpg,train
00f68d337.jpg,train
00f95222c.jpg,train
00fe04c98.jpg,train
00fe7f023.jpg,train
0101e2cf0.jpg,train
01053d28f.jpg,train
010db68d1.jpg,train
012a4581b.jpg,train
012a9a4c7.jpg,train
012f26693.jpg,train
01338c0ea.jpg,train
0139dd004.jpg,train
0141c9bf3.jpg,train
014409fcc.jpg,train
0148e9891.jpg,train
014ebe543.jpg,train
015ed7fac.jpg,train
01661826d.jpg,train
016af13d0.jpg,train
016efe618.jpg,train
01764ee81.jpg,train
017c828a1.jpg,train
017d75655.jpg,train
018ccdfed.jpg,train
01919944c.jpg,train
0198ab92d.jpg,train
019f42c2a.jpg,train
01a1027ce.jpg,train
01afbfa7a.jpg,train
01b237ab8.jpg,train
01b492dd6.jpg,train
01b6c2dc1.jpg,train
01c3ef286.jpg,train
01cf446d4.jpg,train
01cfacf80.jpg,train
01d590c5f.jpg,train
01d97b205.jpg,train
01dbcd2ec.jpg,train
01df77e59.jpg,train
01e020dc5.jpg,train
01e501f99.jpg,train
